"","currency","amount","dorms","bath","age","loft","m2","backside","office","amount_normalized"
"221","USD",14500013000,2,2,26,FALSE,63,FALSE,FALSE,2900002600000
"222","USD",620005800,NA,1,23,TRUE,25.3,FALSE,FALSE,124001160000
"223","USD",31500015000,3,2,51,FALSE,119,FALSE,FALSE,6.300003e+12
"224","USD",309999,2,2,2,FALSE,74,FALSE,FALSE,61999800
"225","USD",53000016000,3,3,21.5,FALSE,122,FALSE,FALSE,10600003200000
"226","USD",1850009200,1,1,13,FALSE,44,FALSE,FALSE,370001840000
"227","USD",50000011,3,3,25,FALSE,137,FALSE,FALSE,10000002200
"228","USD",41000040000,3,3,16.5,FALSE,142,FALSE,FALSE,8.200008e+12
"229","USD",198000,3,1,28,FALSE,93,FALSE,FALSE,39600000
"230","USD",87500074000,4,4,37,FALSE,340,FALSE,FALSE,17500014800000
"231","ARS",23932000,NA,1,1,TRUE,46,FALSE,FALSE,23932000
"232","ARS",37529000,NA,1,1,TRUE,67,FALSE,FALSE,37529000
"233","ARS",44645607,NA,1,1,TRUE,61,FALSE,FALSE,44645607
"234","USD",20950015000,3,1,25.5,FALSE,122,FALSE,FALSE,4.190003e+12
"235","USD",1050005200,1,1,20.5,FALSE,49,FALSE,FALSE,210001040000
"236","USD",18800033000,3,2,25,FALSE,88,FALSE,FALSE,3760006600000
"237","USD",18800033000,3,2,25,FALSE,88,FALSE,FALSE,3760006600000
"238","USD",12100012000,2,2,21,FALSE,81,FALSE,FALSE,2420002400000
"239","USD",49000024000,4,3,26.5,FALSE,174,FALSE,FALSE,9800004800000
"240","USD",895005200,1,1,23,FALSE,39,FALSE,FALSE,179001040000
"241","USD",445000,4,3,26.5,FALSE,200,FALSE,FALSE,8.9e+07
"242","USD",15990012000,3,2,23.5,FALSE,70,FALSE,FALSE,3198002400000
"243","USD",48900027000,4,4,32,FALSE,161,FALSE,FALSE,9780005400000
"244","USD",88000035000,4,4,42,FALSE,509,FALSE,FALSE,1.7600007e+13
"245","USD",53000042000,4,2,26,FALSE,201,FALSE,FALSE,10600008400000
"246","USD",18000020000,2,2,26,FALSE,70,FALSE,FALSE,3.600004e+12
"247","USD",1200001500,1,1,1,FALSE,41,FALSE,FALSE,240000300000
"248","USD",715008500,1,1,28,FALSE,31,FALSE,FALSE,143001700000
"249","USD",950008201,NA,1,1,TRUE,34.04,FALSE,FALSE,190001640200
"250","USD",10900010700,1,1,33,FALSE,56,FALSE,FALSE,2180002140000
"251","USD",42500040000,4,3,26.5,FALSE,124,FALSE,FALSE,8.500008e+12
"252","USD",16500021000,1,1,5.5,FALSE,35,FALSE,FALSE,3300004200000
"253","USD",920006542,1,1,25.5,FALSE,38,FALSE,FALSE,184001308400
"254","USD",350000,3,3,36.5,FALSE,177,FALSE,FALSE,7e+07
"255","USD",95000052000,3,3,24,FALSE,260,FALSE,FALSE,19000010400000
"256","USD",85000,1,1,18,FALSE,46,FALSE,FALSE,1.7e+07
"257","USD",900007500,2,1,20.5,FALSE,46,FALSE,FALSE,180001500000
"258","USD",15000012000,NA,1,1007.5,TRUE,43,FALSE,FALSE,3000002400000
"259","USD",13990019000,2,1,31.5,FALSE,70,FALSE,FALSE,2798003800000
"260","USD",2700002600,3,1,30.5,FALSE,109,FALSE,FALSE,540000520000
"261","USD",12900015000,2,1,25.5,FALSE,55,FALSE,FALSE,2.580003e+12
"262","USD",27999725500,2,1,1,FALSE,93,FALSE,FALSE,5599945100000
"263","USD",2350000105000,3,3,36.5,FALSE,350,FALSE,FALSE,4.70000021e+14
"264","USD",36000022168,2,3,36.5,FALSE,156,FALSE,FALSE,7200004433600
"265","USD",18500015000,3,3,26.5,FALSE,84,FALSE,FALSE,3.700003e+12
